"id","title","style_code","description","availability","price","brand","product_type","fb_product_category","google_product_category","inventory","item_group_id","pattern","gender","link","image_link","additional_image_link","visibility","colour","size","condition","custom_label_0","custom_label_1","custom_label_2","custom_label_3","custom_label_4","custom_number_0","custom_number_1","custom_number_2","custom_number_3","custom_number_4"
"WP32055","Montblanc 105158 Rollerball Refill Medium (pack Of 2) Mystery Black","WP32055","Will fit all Montblanc Rollerball / Fineliner Pens except Meisterst&uuml;ck LeGrand Rollerball pen<br>","Out of stock","1610 INR","Montblanc","Inks & Refills","Writing Instruments","Writing Instruments","","WP32055","solid","-","https://www.williampenn.net/product/montblanc-105158-rollerball-refill-medium-pack-of-2-mystery-black-wp32055","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp13753.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp13753.jpg","published","-","Free Size","new","WP32055","0","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp13753.jpg","-","-","-","-","-","-","-"
"WP28104","Lapis Bard Easy Flow 9000 Ballpoint Pen Refill Medium Blue","CNFWP0132","<p>easyFLOW 9000 refills that glides over paper with a buttery smoothness. Thoughtfully made to ensure your hands are never fatigued after hours of writing. Created in Germany, with specialist technology, it combines the advantages of the well&#45; known ballpoint refill with the smoothness of a rollerball creating a completely new experience in writing. Lapis Bard ballpoint refills are also compatible with brands that accept a jotter style ballpoint refill.</p>","In stock","465 INR","Lapis Bard","Inks & Refills","Writing Instruments","Writing Instruments","30","CNFWP0132","solid","-","https://www.williampenn.net/product/lapis-bard-easy-flow-9000-ballpoint-pen-refill-medium-blue-wp28104","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp28104.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp28104.jpg","published","Blue","Medium","new","WP28104","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp28104.jpg","-","-","-","-","-","-","-"
"WP28105","Lapis Bard Easy Flow 9000 Ballpoint Pen Refill Medium Black","CNFWP0132","<p>easyFLOW 9000 refills that glides over paper with a buttery smoothness. Thoughtfully made to ensure your hands are never fatigued after hours of writing. Created in Germany, with specialist technology, it combines the advantages of the well&#45; known ballpoint refill with the smoothness of a rollerball creating a completely new experience in writing. Lapis Bard ballpoint refills are also compatible with brands that accept a jotter style ballpoint refill.</p>","In stock","465 INR","Lapis Bard","Inks & Refills","Writing Instruments","Writing Instruments","30","CNFWP0132","solid","-","https://www.williampenn.net/product/lapis-bard-easy-flow-9000-ballpoint-pen-refill-medium-black-wp28105","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp28105.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp28105.jpg","published","Black","Medium","new","WP28105","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp28105.jpg","-","-","-","-","-","-","-"
"WP00136","Caran D'ache Goliath Ballpoint Refill Medium Green","WP00136","<p>Stainless steel point. Rotating ballpoint made of tungsten carbide to ensure regular ink flow. Made in our Geneva workshops, the Goliath ink refill is carefully tested to guarantee incomparable writing comfort. Delivers up to 600 A4 pages of writing.</p><br>","In stock","945 INR","Caran d'Ache","Inks & Refills","Writing Instruments","Writing Instruments","3","WP00136","solid","-","https://www.williampenn.net/product/caran-d-ache-goliath-ballpoint-refill-medium-green-wp00136","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP00136.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP00136.jpg","published","Green","Medium","new","WP00136","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP00136.jpg","-","-","-","-","-","-","-"
"WP00142","Caran D'ache Goliath Ballpoint Refill Fine Black","WP00142","<p>Stainless steel point. Rotating ballpoint made of tungsten carbide to ensure regular ink flow. Made in our Geneva workshops, the Goliath ink refill is carefully tested to guarantee incomparable writing comfort. Delivers up to 600 A4 pages of writing.</p><br>","Out of stock","945 INR","Caran d'Ache","Inks & Refills","Writing Instruments","Writing Instruments","","WP00142","solid","-","https://www.williampenn.net/product/caran-d-ache-goliath-ballpoint-refill-fine-black-wp00142","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp00142-1.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp00142-1.jpg","published","Black","Fine","new","WP00142","0","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp00142-1.jpg","-","-","-","-","-","-","-"
"WP00143","Caran D'ache Goliath Ballpoint Refill Broad Black","WP00143","<p>Stainless steel point. Rotating ballpoint made of tungsten carbide to ensure regular ink flow. Made in our Geneva workshops, the Goliath ink refill is carefully tested to guarantee incomparable writing comfort. Delivers up to 600 A4 pages of writing.</p><br>","Out of stock","945 INR","Caran d'Ache","Inks & Refills","Writing Instruments","Writing Instruments","","WP00143","solid","-","https://www.williampenn.net/product/caran-d-ache-goliath-ballpoint-refill-large-black-wp00143","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP00143.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP00143.jpg","published","Black","Broad","new","WP00143","0","sites/StAFxmqh5LfPz3ZQSdCh/product-images/WP00143.jpg","-","-","-","-","-","-","-"
"WP02138","Caran D'ache Fibre Rollerball Refill (medium) Blue","CNFWP0095","<p>This Medium fibre ink refill from Caran d'Ache allows you to fully appreciate the precision of your rollerball pen. It is compatible with all Caran d'Ache Rollerball Pens</p><br>","Out of stock","345 INR","Caran d'Ache","Inks & Refills","Writing Instruments","Writing Instruments","","CNFWP0095","solid","-","https://www.williampenn.net/product/caran-d-ache-fibre-rollerball-refill-medium-blue-wp02138","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp02138.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp02138.jpg","published","Blue","Medium","new","WP02138","0","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp02138.jpg","-","-","-","-","-","-","-"
"WP02139","Caran D'ache Fibre Rollerball Refill (medium) Black","CNFWP0095","<p>This Medium fibre ink refill from Caran d'Ache allows you to fully appreciate the precision of your rollerball pen. It is compatible with all Caran d'Ache Rollerball Pens</p><br>","Out of stock","345 INR","Caran d'Ache","Inks & Refills","Writing Instruments","Writing Instruments","","CNFWP0095","solid","-","https://www.williampenn.net/product/caran-d-ache-fibre-rollerball-refill-medium-black-wp02139","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp02139.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp02139.jpg","published","Black","Medium","new","WP02139","0","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp02139.jpg","-","-","-","-","-","-","-"
"WP25765","Lamy Safari 216 Ballpoint Pen Red With Chrome Plated Clip","CNFWP0004","<p>This is the Lamy Safari  the bestselling collection from Lamy, readily identifiable because of its iconic clip. safari ballpoint with glossy red ABS plastic barrel and triangular grip section. Pushbutton retract mechanism  button is gaitered with matt black rubber. Strong sprung steel clip in polished chrome. Fitted with giant refill LAMY M 16 M black</p>","In stock","1540 INR","Lamy","Ballpoint Pens","Writing Instruments","Writing Instruments","1","CNFWP0004","solid","-","https://www.williampenn.net/product/lamy-safari-216-ballpoint-pen-red-with-chrome-plated-clip-wp25765","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp08811-1.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp08811-1.jpg","published","Red","Free Size","new","WP25765","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp08811-1.jpg","-","-","-","-","-","-","-"
"WP25752","Lamy Al-star 226 Ballpoint Pen Graphite With Chrome Metal Clip","CNFWP0007","<p>The Lamy ALstar is the attractive, young writing instrument which satisfies even the highest requirements. ALstar ballpoint with matt graphite anodised aluminium barrel and translucent grey triangular grip section. Pushbutton retract mechanism  button is gaitered with matt black rubber. Strong sprung steel clip in polished chrome. Fitted with giant refill LAMY M 16 M black</p>","In stock","2520 INR","Lamy","Ballpoint Pens","Writing Instruments","Writing Instruments","1","CNFWP0007","solid","-","https://www.williampenn.net/product/lamy-al-star-226-ballpoint-pen-graphite-with-chrome-metal-clip-wp25752","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp09011.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp09011.jpg","published","Graphite","Free Size","new","WP25752","100","sites/StAFxmqh5LfPz3ZQSdCh/product-images/wp09011.jpg","-","-","-","-","-","-","-"
