"id","title","style_code","description","availability","price","brand","product_type","fb_product_category","google_product_category","inventory","item_group_id","pattern","gender","link","image_link","additional_image_link","visibility","colour","size","condition","percentile_availability","sub_group_percentile_availability","age_group","shipping","identifier_exists","custom_label_0","custom_label_1","custom_label_2","custom_label_3","custom_label_4","custom_number_0","custom_number_1","custom_number_2","custom_number_3","custom_number_4"
"I020859","F.sports Men Grey Sandals","OCEAN-220921","F.Sports Men Grey Sandals","In stock","995 INR","F.Sports","-","men","men","4","OCEAN-220921","solid","male","https://www.popularshoemart.com/product/f-sports-ocean-grey-orange-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/OCEAN-GR-ORG-220921-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/OCEAN-GR-ORG-220921-01.jpg","","Grey","41/7","new","41","71","","","","-","-","-","-","-","-","-","-","-","-"
"I124224","Lancer Men Dark Grey Sports Shoes","DRAGON-301021","Lancer Men Dark Grey Sports Shoes","In stock","899 INR","Lancer","-","men","men","1","DRAGON-301021","solid","male","https://www.popularshoemart.com/product/lancer-dragon-d-gry-8","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/DRAGON-DGR-301021-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/DRAGON-DGR-301021-01.jpg","published","Grey","42/8","new","100","100","","","","-","-","-","-","-","-","-","-","-","-"
"I263819","Doctor + Orthopedic Men Brown Loafers","DRIVE-01-231222","Doctor + Orthopedic Men Brown Loafers","In stock","1799 INR","Doctor + Orthopedic","-","men","men","1","DRIVE-01-231222","solid","male","https://www.popularshoemart.com/product/doctor-drive-01-brown-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/DRIVE-01-BR-231222-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/DRIVE-01-BR-231222-01.jpg","","Brown","41/7","new","7","25","","","","-","-","-","-","-","-","-","-","-","-"
"I296110","Alpha Kicks Men Casual Shoes","EQUIPMENT-281123","Alpha Kicks Men Casual Shoes","In stock","699 INR","Alpha Kicks","-","men","men","5","EQUIPMENT-281123","solid","male","https://www.popularshoemart.com/product/alpha-kicks-equipment-l-grey-8","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/EQUIPMENT-L.GRY-281123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/EQUIPMENT-L.GRY-281123-01.jpg","","Grey","42/8","new","70","60","","","","-","-","-","-","-","-","-","-","-","-"
"I296175","Alpha Kicks Men Sports Shoes","EGO-281123","Alpha Kicks Men Sports Shoes","In stock","1799 INR","Alpha Kicks","-","men","men","3","EGO-281123","solid","male","https://www.popularshoemart.com/product/alpha-kicks-ego-l-gry-slvr-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/EGO-L.GRY-SIL-281123-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/EGO-L.GRY-SIL-281123-01.jpg","","Grey","41/7","new","60","60","","","","-","-","-","-","-","-","-","-","-","-"
"I263497","Antique Men Brown Slippers","A-8-121222","Antique Men Brown Slippers","In stock","1999 INR","Antique","-","men","men","1","A-8-121222","solid","male","https://www.popularshoemart.com/product/antique-a-8-brown-6","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/A-8-BRN-121222-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/A-8-BRN-121222-01.jpg","","Brown","40/6","new","20","40","","","","-","-","-","-","-","-","-","-","-","-"
"I263488","Antique Men Brown Slippers","A-2-121222","Antique Men Brown Slippers","In stock","1999 INR","Antique","-","men","men","1","A-2-121222","solid","male","https://www.popularshoemart.com/product/antique-a-2-brown-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/A-2-BRN-121222-01.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/A-2-BRN-121222-01.jpg","","Brown","41/7","new","20","20","","","","-","-","-","-","-","-","-","-","-","-"
"I314761","Redford Men Black Sandals","H-204-280224","Redford Men Black Sandals","In stock","1049 INR","Redford","-","brands","brands","2","H-204-280224","solid","male","https://www.popularshoemart.com/product/redford-h-204-black-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/H-204-BLK-280224-011.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/H-204-BLK-280224-011.jpg","published","Black","41/7","new","83","100","","","","-","-","-","-","-","-","-","-","-","-"
"I312712","Redford Men Tan Sandals","FXT-05-280224","Introducing the Redford Men Tan Office Chappal by Popular Shoe Mart, a perfect blend of classic style and modern design. Crafted with highquality synthetic material, this office chappal for men ensures allday comfort with a soft, skinfriendly feel. Whether you're navigating flat or uneven surfaces, the sturdy grip provides reliable support throughout your busy day. Ideal for office wear, ethnic occasions, and leisure, these chappals are the best choice for those seeking both style and comfort in one. Upgrade your footwear collection with these versatile men's office chappals for a polished yet relaxed look.","In stock","1999 INR","Redford","-","brands","brands","3","FXT-05-280224","solid","male","https://www.popularshoemart.com/product/redford-fxt-05-tan-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/FXT-05-TAN-280224-011.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/FXT-05-TAN-280224-011.jpg","published","Tan","41/7","new","100","100","","","","-","-","-","-","-","-","-","-","-","-"
"I302819","Redford Men Tan Sandals","BOB-4-280224","Introducing the Redford Men Tan Office Chappal by Popular Shoe Mart, a perfect blend of classic style and modern design. Crafted with highquality synthetic material, this office chappal for men ensures allday comfort with a soft, skinfriendly feel. Whether you're navigating flat or uneven surfaces, the sturdy grip provides reliable support throughout your busy day. Ideal for office wear, ethnic occasions, and leisure, these chappals are the best choice for those seeking both style and comfort in one. Upgrade your footwear collection with these versatile men's office chappals for a polished yet relaxed look.","In stock","1849 INR","Redford","-","brands","brands","4","BOB-4-280224","solid","male","https://www.popularshoemart.com/product/redford-bob-4-tan-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/BOB-4-TAN-280224-011.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/BOB-4-TAN-280224-011.jpg","published","Tan","41/7","new","83","100","","","","-","-","-","-","-","-","-","-","-","-"
"I312769","Redford Men Black Sandals","CMRY-01-280224","Redford Men Black Sandals","In stock","1699 INR","Redford","-","brands","brands","2","CMRY-01-280224","solid","male","https://www.popularshoemart.com/product/redford-cmry-01-black-7","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/CMRY-01-BLK-280224-011.jpg","https://kartmax-product-live-bucket.s3.ap-south-1.amazonaws.com/sites/3pmylNkGfdV7pPbyDJsN/product-images/CMRY-01-BLK-280224-011.jpg","published","Black","41/7","new","83","100","","","","-","-","-","-","-","-","-","-","-","-"
